Vertex 920.135 244.07
1104.93 -5.49701 1091.93 10.5454
1091.93 10.5454 1062.98 46.363
1062.98 46.363 1036.59 79.126
1036.59 79.126 1012.77 108.847
1012.77 108.847 991.54 135.543
991.54 135.543 972.912 159.236
972.912 159.236 956.91 179.958
956.91 179.958 943.566 197.748
943.566 197.748 932.922 212.662
932.922 212.662 925.031 224.77
925.031 224.77 919.96 234.161
919.96 234.161 917.79 240.94
917.79 240.94 918.615 245.229
918.615 245.229 917.79 240.94
917.79 240.94 918.615 245.229
918.615 245.229 922.534 247.158
922.534 247.158 929.645 246.858
929.645 246.858 940.042 244.45
940.042 244.45 953.805 240.039
953.805 240.039 971.002 233.716
971.002 233.716 991.688 225.549
991.688 225.549 1015.9 215.594
1015.9 215.594 1043.68 203.891
1043.68 203.891 1075.03 190.472
1075.03 190.472 1109.99 175.357
1109.99 175.357 1148.57 158.566
1148.57 158.566 1190.76 140.109
1190.76 140.109 1236.59 119.997
1236.59 119.997 1286.06 98.237
1286.06 98.237 1339.16 74.8338
1339.16 74.8338 1395.91 49.7919
1395.91 49.7919 1456.3 23.1145
1456.3 23.1145 1520.34 -5.19597
1520.34 -5.19597 1588.03 -35.1374
1588.03 -35.1374 1659.38 -66.7082
1659.38 -66.7082 1734.37 -99.9072
1734.37 -99.9072 1813.01 -134.733
1813.01 -134.733 1895.31 -171.186
1895.31 -171.186 1981.27 -209.264
1981.27 -209.264 2000 -217.565
1104.93 -5.49701 nan nan
1104.93 -5.49701 1128.81 -21.6363
1128.81 -21.6363 1168.65 -48.4833
1168.65 -48.4833 1211.56 -77.34
1211.56 -77.34 1257.59 -108.246
1257.59 -108.246 1306.79 -141.233
1306.79 -141.233 1359.18 -176.326
1359.18 -176.326 1414.78 -213.544
1414.78 -213.544 1473.61 -252.904
1473.61 -252.904 1535.7 -294.417
1535.7 -294.417 1601.05 -338.096
1601.05 -338.096 1669.67 -383.947
1669.67 -383.947 1741.57 -431.979
1741.57 -431.979 1816.75 -482.197
1816.75 -482.197 1895.23 -534.606
1895.23 -534.606 1977.01 -589.209
1977.01 -589.209 2000 -604.561
Vertex 710.787 881.232
703.189 908.441 708.007 906.818
708.007 906.818 716.943 904.156
716.943 904.156 708.007 906.818
708.007 906.818 716.943 904.156
716.943 904.156 726.01 901.983
726.01 901.983 736.392 899.981
736.392 899.981 749.054 897.892
749.054 897.892 751.286 897.544
683.672 861.44 684.062 866.598
684.062 866.598 686.365 879.71
686.365 879.71 690.642 891.184
690.642 891.184 686.365 879.71
686.365 879.71 690.642 891.184
690.642 891.184 697.156 901.553
697.156 901.553 703.189 908.441
683.672 861.44 nan nan
683.672 861.44 685.97 856.907
685.97 856.907 693.713 844.231
693.713 844.231 703.623 830.99
703.623 830.99 715.889 816.683
715.889 816.683 724.832 807.006
724.832 807.006 nan nan
724.832 807.006 742.797 806.763
742.797 806.763 764.247 807.52
764.247 807.52 766.433 807.652
776.344 835.302 nan nan
776.344 835.302 771.431 821.537
771.431 821.537 766.433 807.652
751.286 897.544 nan nan
751.286 897.544 754.047 892.849
754.047 892.849 761.476 877.992
761.476 877.992 768.169 861.156
768.169 861.156 774.42 841.929
774.42 841.929 776.344 835.302
Vertex 721.716 921.928
721.323 963.258 730.383 954.069
730.383 954.069 738.879 943.144
738.879 943.144 744.975 931.855
744.975 931.855 738.879 943.144
738.879 943.144 744.975 931.855
744.975 931.855 748.909 919.643
748.909 919.643 750.919 905.949
750.919 905.949 751.286 897.544
703.189 908.441 702.571 912.358
702.571 912.358 702.415 923.926
702.415 923.926 702.571 912.358
702.571 912.358 702.415 923.926
702.415 923.926 704.937 935.217
704.937 935.217 710.195 946.792
710.195 946.792 718.242 959.17
718.242 959.17 721.323 963.258
751.286 897.544 749.054 897.892
749.054 897.892 736.392 899.981
736.392 899.981 726.01 901.983
726.01 901.983 716.943 904.156
716.943 904.156 726.01 901.983
726.01 901.983 716.943 904.156
716.943 904.156 708.007 906.818
708.007 906.818 703.189 908.441
Vertex 361.38 55.3086
383.377 51.0193 nan nan
383.377 51.0193 381.861 42.4055
381.861 42.4055 376.983 29.4439
376.983 29.4439 368.948 15.8206
368.948 15.8206 357.75 1.22376
357.75 1.22376 343.389 -14.6205
343.389 -14.6205 325.859 -31.9447
325.859 -31.9447 305.61 -50.5399
299.999 38.0517 302.041 39.5825
302.041 39.5825 318.207 50.9982
318.207 50.9982 332.285 59.4458
332.285 59.4458 344.508 64.8586
344.508 64.8586 355.149 67.1579
355.149 67.1579 364.519 66.2552
364.519 66.2552 355.149 67.1579
355.149 67.1579 364.519 66.2552
364.519 66.2552 372.943 62.0566
372.943 62.0566 380.75 54.4683
380.75 54.4683 383.377 51.0193
299.999 38.0517 nan nan
299.999 38.0517 299.653 33.8515
299.653 33.8515 299.115 12.8737
299.115 12.8737 300.335 -9.93716
300.335 -9.93716 303.213 -34.9169
303.213 -34.9169 305.61 -50.5399
Vertex 507.697 517.836
608.984 557.25 590.628 547.566
590.628 547.566 570.919 537.125
570.919 537.125 554.619 528.411
554.619 528.411 541.618 521.315
541.618 521.315 531.693 515.617
531.693 515.617 524.408 510.887
524.408 510.887 518.998 506.371
518.998 506.371 524.408 510.887
524.408 510.887 518.998 506.371
518.998 506.371 514.406 501.027
514.406 501.027 509.572 493.81
509.572 493.81 503.732 483.969
503.732 483.969 496.45 471.071
496.45 471.071 487.503 454.897
487.503 454.897 487.067 454.104
597.762 571.178 nan nan
597.762 571.178 600.107 568.311
600.107 568.311 608.984 557.25
471.86 545.941 473.006 546.3
473.006 546.3 486.256 550.262
486.256 550.262 498.731 553.603
498.731 553.603 486.256 550.262
486.256 550.262 498.731 553.603
498.731 553.603 511.307 556.542
511.307 556.542 524.86 559.297
524.86 559.297 540.173 562.067
540.173 562.067 557.879 565.009
557.879 565.009 578.452 568.241
578.452 568.241 597.762 571.178
487.067 454.104 481.489 470.533
481.489 470.533 476.886 486.314
476.886 486.314 473.668 500.747
473.668 500.747 471.77 514.53
471.77 514.53 473.668 500.747
473.668 500.747 471.77 514.53
471.77 514.53 471.121 528.428
471.121 528.428 471.651 543.206
471.651 543.206 471.86 545.941
Vertex 518.804 829.371
474.511 853.274 486.808 856.693
486.808 856.693 499.763 860.01
