Vertex 20 -20
-0.31985 -184.984 -0.192473 -183.536
-0.192473 -183.536 2.79341 -149.641
2.79341 -149.641 5.44099 -119.721
5.44099 -119.721 7.75656 -93.7691
7.75656 -93.7691 9.75194 -71.7737
9.75194 -71.7737 11.4509 -53.711
11.4509 -53.711 12.9053 -39.5294
12.9053 -39.5294 14.2362 -29.1076
14.2362 -29.1076 15.735 -22.1542
15.735 -22.1542 18.0355 -18.0355
18.0355 -18.0355 15.735 -22.1542
15.735 -22.1542 18.0355 -18.0355
18.0355 -18.0355 22.1542 -15.735
22.1542 -15.735 29.1076 -14.2362
29.1076 -14.2362 39.5294 -12.9053
39.5294 -12.9053 53.711 -11.4509
53.711 -11.4509 71.3466 -9.79124
-0.31985 -184.984 nan nan
-0.31985 -184.984 8.20527 -207.325
8.20527 -207.325 19.5468 -237.695
19.5468 -237.695 31.9284 -271.413
31.9284 -271.413 45.4179 -308.578
45.4179 -308.578 60.0656 -349.267
60.0656 -349.267 75.9094 -393.535
75.9094 -393.535 92.9776 -441.423
92.9776 -441.423 111.292 -492.966
111.292 -492.966 130.868 -548.185
130.868 -548.185 151.719 -607.101
151.719 -607.101 173.854 -669.728
173.854 -669.728 197.282 -736.077
197.282 -736.077 216.673 -791.032
459.905 -549.445 nan nan
459.905 -549.445 429.969 -579.302
429.969 -579.302 392.158 -616.959
392.158 -616.959 353.839 -655.065
353.839 -655.065 314.857 -693.771
314.857 -693.771 275.062 -733.229
275.062 -733.229 234.31 -773.584
234.31 -773.584 216.673 -791.032
71.3466 -9.79124 nan nan
71.3466 -9.79124 81.4167 -21.395
81.4167 -21.395 93.623 -36.4234
93.623 -36.4234 107.093 -53.8289
107.093 -53.8289 122.103 -73.8486
122.103 -73.8486 138.856 -96.6584
138.856 -96.6584 157.5 -122.386
157.5 -122.386 178.142 -151.124
178.142 -151.124 200.86 -182.938
200.86 -182.938 225.709 -217.877
225.709 -217.877 252.73 -255.975
252.73 -255.975 281.952 -297.258
281.952 -297.258 313.396 -341.745
313.396 -341.745 347.081 -389.45
347.081 -389.45 383.018 -440.385
383.018 -440.385 421.217 -494.556
421.217 -494.556 459.905 -549.445
Vertex 9 -9
-21.2279 -138.122 -17.569 -115.241
-17.569 -115.241 -13.4534 -89.4381
-13.4534 -89.4381 -9.97576 -67.5131
-9.97576 -67.5131 -7.13911 -49.4094
-7.13911 -49.4094 -4.9497 -35.0083
-4.9497 -35.0083 -3.42124 -24.0491
-3.42124 -24.0491 -2.58391 -15.9583
-2.58391 -15.9583 -2.49724 -9.60512
-2.49724 -9.60512 -2.58391 -15.9583
-2.58391 -15.9583 -2.49724 -9.60512
-2.49724 -9.60512 -2.92175 -5.35399
-21.2279 -138.122 nan nan
-21.2279 -138.122 -15.4726 -150.513
-15.4726 -150.513 -5.03832 -174.017
-5.03832 -174.017 -0.31985 -184.984
71.3466 -9.79124 53.711 -11.4509
53.711 -11.4509 39.5294 -12.9053
39.5294 -12.9053 29.1076 -14.2362
29.1076 -14.2362 22.1542 -15.735
22.1542 -15.735 18.0355 -18.0355
18.0355 -18.0355 22.1542 -15.735
22.1542 -15.735 18.0355 -18.0355
18.0355 -18.0355 15.735 -22.1542
15.735 -22.1542 14.2362 -29.1076
14.2362 -29.1076 12.9053 -39.5294
12.9053 -39.5294 11.4509 -53.711
11.4509 -53.711 9.75194 -71.7737
9.75194 -71.7737 7.75656 -93.7691
7.75656 -93.7691 5.44099 -119.721
5.44099 -119.721 2.79341 -149.641
2.79341 -149.641 -0.192473 -183.536
-0.192473 -183.536 -0.31985 -184.984
41.845 26.845 45.256 23.0402
45.256 23.0402 55.0154 11.523
55.0154 11.523 64.8119 -0.9835
64.8119 -0.9835 71.3466 -9.79124
8.06875 3.4448 9.85624 2.98729
9.85624 2.98729 13.9215 4.12549
13.9215 4.12549 19.5553 8.00879
19.5553 8.00879 27.5774 14.5786
27.5774 14.5786 38.3446 23.8096
38.3446 23.8096 41.845 26.845
-2.92175 -5.35399 -0.961562 -4.56769
-0.961562 -4.56769 3.43826 -2.04783
3.43826 -2.04783 -0.961562 -4.56769
-0.961562 -4.56769 3.43826 -2.04783
3.43826 -2.04783 6.86248 1.69154
6.86248 1.69154 8.06875 3.4448
Vertex 1000 -1000
459.905 -549.445 nan nan
